date,cas,contact,importe,communautaire,total,gueri,mort
2020-03-22,11,5,6,0,67,5,0
2020-03-21,9,1,5,3,56,5,0
2020-03-20,9,5,4,0,47,5,0
2020-03-19,2,0,2,0,38,5,0
2020-03-18,5,2,3,0,36,2,0
2020-03-17,4,1,3,0,31,2,0
2020-03-16,1,0,1,0,27,2,0
2020-03-15,2,1,1,0,26,2,0
2020-03-14,3,1,2,0,24,2,0
2020-03-13,11,11,0,0,21,2,0
2020-03-12,5,5,0,0,10,2,0
2020-03-11,1,0,1,0,5,2,0
2020-03-10,0,0,0,0,4,1,0
2020-03-09,0,0,0,0,4,1,0
2020-03-08,0,0,0,0,4,1,0
2020-03-07,0,0,0,0,4,1,0
2020-03-06,0,0,0,0,4,1,0
2020-03-05,0,0,0,0,4,0,0
2020-03-04,2,1,1,0,4,0,0
2020-03-03,1,0,1,0,2,0,0
2020-03-02,0,0,0,0,1,0,0
2020-03-01,0,0,0,0,1,0,0
2020-02-29,0,0,0,0,1,0,0
2020-02-28,1,0,1,0,1,0,0
